CompanyID,Company,Val_B_M,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,fund_B_M,Funding,FundinginMillions,Select Investors
1,Bytedance,B,180,4/7/17,Artificial intelligence,Beijing,China,Asia,1/1/12,M,8B,8000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
2,SpaceX,B,100,12/1/12,Other,Hawthorne,United States,North America,1/1/02,M,7B,7000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
3,SHEIN,B,100,7/3/18,E-commerce & direct-to-consumer,Shenzhen,China,Asia,1/1/08,M,2B,2000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
4,Stripe,B,95,1/23/14,Fintech,San Francisco,United States,North America,1/1/10,M,2B,2000,"Khosla Ventures, LowercaseCapital, capitalG"
5,Klarna,B,46,12/12/11,Fintech,Stockholm,Sweden,Europe,1/1/05,M,4B,4000,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
6,Canva,B,40,1/8/18,Internet software & services,Surry Hills,Australia,Oceania,1/1/12,M,572M,572,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
7,Checkout.com,B,40,5/2/19,Fintech,London,United Kingdom,Europe,1/1/12,M,2B,2000,"Tiger Global Management, Insight Partners, DST Global"
8,Instacart,B,39,12/30/14,"Supply chain, logistics, & delivery",San Francisco,United States,North America,1/1/12,M,3B,3000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
9,JUUL Labs,B,38,12/20/17,Consumer & retail,San Francisco,United States,North America,1/1/15,M,14B,14000,Tiger Global Management
10,Databricks,B,38,2/5/19,Data management & analytics,San Francisco,United States,North America,1/1/13,M,3B,3000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
11,Revolut,B,33,4/26/18,Fintech,London,United Kingdom,Europe,1/1/15,M,2B,2000,"index Ventures, DST Global, Ribbit Capital"
12,Epic Games,B,32,10/26/18,Other,Cary,United States,North America,1/1/91,M,7B,7000,"Tencent Holdings, KKR, Smash Ventures"
13,FTX,B,32,7/20/21,Fintech,,Bahamas,North America,1/1/18,M,2B,2000,"Sequoia Capital, Thoma Bravo, Softbank"
14,Fanatics,B,27,6/6/12,E-commerce & direct-to-consumer,Jacksonville,United States,North America,1/1/02,M,4B,4000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
15,Chime,B,25,3/5/19,Fintech,San Francisco,United States,North America,1/1/13,M,2B,2000,"Forerunner Ventures, Crosslink Capital, Homebrew"
16,BYJU's,B,22,7/25/17,Edtech,Bengaluru,India,Asia,1/1/08,M,4B,4000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
17,J&T Express,B,20,4/7/21,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,1/1/15,M,5B,5000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
